Drone,SerialNumber,DataType,ReferenceSNRLevel,CenterFrequency,SampleRate,IFBandwidth,ScaleFactor,center_frequency_hz,center_frequency_mhz,sample_rate_hz,if_bandwidth_hz,reference_snr_db,scale_factor_numeric,source_xml_path,raw_iq_path
DAUTEL EVO NANO,00001,Complex Float,34,5770000000.000,100000000,100000000,90,5770000000.0,5770.0,100000000.0,100000000.0,34.0,90.0,/scratch/rameyjm7/datasets/RFUAV/archives/DAUTEL EVO NANO.rar!DAUTEL EVO NANO/pack1.xml,/scratch/rameyjm7/datasets/RFUAV/archives/DAUTEL EVO NANO.rar!DAUTEL EVO NANO/pack1_0-1s.iq
DAUTEL EVO NANO,00001,Complex Float,34,5770000000.000,100000000,100000000,90,5770000000.0,5770.0,100000000.0,100000000.0,34.0,90.0,/scratch/rameyjm7/datasets/RFUAV/archives/DAUTEL EVO NANO.rar!DAUTEL EVO NANO/pack1.xml,/scratch/rameyjm7/datasets/RFUAV/archives/DAUTEL EVO NANO.rar!DAUTEL EVO NANO/pack1_1-2s.iq
DAUTEL EVO NANO,00001,Complex Float,34,5770000000.000,100000000,100000000,90,5770000000.0,5770.0,100000000.0,100000000.0,34.0,90.0,/scratch/rameyjm7/datasets/RFUAV/archives/DAUTEL EVO NANO.rar!DAUTEL EVO NANO/pack1.xml,/scratch/rameyjm7/datasets/RFUAV/archives/DAUTEL EVO NANO.rar!DAUTEL EVO NANO/pack1_10-11s.iq
DAUTEL EVO NANO,00001,Complex Float,34,5770000000.000,100000000,100000000,90,5770000000.0,5770.0,100000000.0,100000000.0,34.0,90.0,/scratch/rameyjm7/datasets/RFUAV/archives/DAUTEL EVO NANO.rar!DAUTEL EVO NANO/pack1.xml,/scratch/rameyjm7/datasets/RFUAV/archives/DAUTEL EVO NANO.rar!DAUTEL EVO NANO/pack1_11-12s.iq
DAUTEL EVO NANO,00001,Complex Float,34,5770000000.000,100000000,100000000,90,5770000000.0,5770.0,100000000.0,100000000.0,34.0,90.0,/scratch/rameyjm7/datasets/RFUAV/archives/DAUTEL EVO NANO.rar!DAUTEL EVO NANO/pack1.xml,/scratch/rameyjm7/datasets/RFUAV/archives/DAUTEL EVO NANO.rar!DAUTEL EVO NANO/pack1_12-13s.iq
DAUTEL EVO NANO,00001,Complex Float,34,5770000000.000,100000000,100000000,90,5770000000.0,5770.0,100000000.0,100000000.0,34.0,90.0,/scratch/rameyjm7/datasets/RFUAV/archives/DAUTEL EVO NANO.rar!DAUTEL EVO NANO/pack1.xml,/scratch/rameyjm7/datasets/RFUAV/archives/DAUTEL EVO NANO.rar!DAUTEL EVO NANO/pack1_2-3s.iq
DAUTEL EVO NANO,00001,Complex Float,34,5770000000.000,100000000,100000000,90,5770000000.0,5770.0,100000000.0,100000000.0,34.0,90.0,/scratch/rameyjm7/datasets/RFUAV/archives/DAUTEL EVO NANO.rar!DAUTEL EVO NANO/pack1.xml,/scratch/rameyjm7/datasets/RFUAV/archives/DAUTEL EVO NANO.rar!DAUTEL EVO NANO/pack1_3-4s.iq
DAUTEL EVO NANO,00001,Complex Float,34,5770000000.000,100000000,100000000,90,5770000000.0,5770.0,100000000.0,100000000.0,34.0,90.0,/scratch/rameyjm7/datasets/RFUAV/archives/DAUTEL EVO NANO.rar!DAUTEL EVO NANO/pack1.xml,/scratch/rameyjm7/datasets/RFUAV/archives/DAUTEL EVO NANO.rar!DAUTEL EVO NANO/pack1_4-5s.iq
DAUTEL EVO NANO,00001,Complex Float,34,5770000000.000,100000000,100000000,90,5770000000.0,5770.0,100000000.0,100000000.0,34.0,90.0,/scratch/rameyjm7/datasets/RFUAV/archives/DAUTEL EVO NANO.rar!DAUTEL EVO NANO/pack1.xml,/scratch/rameyjm7/datasets/RFUAV/archives/DAUTEL EVO NANO.rar!DAUTEL EVO NANO/pack1_5-6s.iq
DAUTEL EVO NANO,00001,Complex Float,34,5770000000.000,100000000,100000000,90,5770000000.0,5770.0,100000000.0,100000000.0,34.0,90.0,/scratch/rameyjm7/datasets/RFUAV/archives/DAUTEL EVO NANO.rar!DAUTEL EVO NANO/pack1.xml,/scratch/rameyjm7/datasets/RFUAV/archives/DAUTEL EVO NANO.rar!DAUTEL EVO NANO/pack1_6-7s.iq
DAUTEL EVO NANO,00001,Complex Float,34,5770000000.000,100000000,100000000,90,5770000000.0,5770.0,100000000.0,100000000.0,34.0,90.0,/scratch/rameyjm7/datasets/RFUAV/archives/DAUTEL EVO NANO.rar!DAUTEL EVO NANO/pack1.xml,/scratch/rameyjm7/datasets/RFUAV/archives/DAUTEL EVO NANO.rar!DAUTEL EVO NANO/pack1_7-8s.iq
DAUTEL EVO NANO,00001,Complex Float,34,5770000000.000,100000000,100000000,90,5770000000.0,5770.0,100000000.0,100000000.0,34.0,90.0,/scratch/rameyjm7/datasets/RFUAV/archives/DAUTEL EVO NANO.rar!DAUTEL EVO NANO/pack1.xml,/scratch/rameyjm7/datasets/RFUAV/archives/DAUTEL EVO NANO.rar!DAUTEL EVO NANO/pack1_8-9s.iq
DAUTEL EVO NANO,00001,Complex Float,34,5770000000.000,100000000,100000000,90,5770000000.0,5770.0,100000000.0,100000000.0,34.0,90.0,/scratch/rameyjm7/datasets/RFUAV/archives/DAUTEL EVO NANO.rar!DAUTEL EVO NANO/pack1.xml,/scratch/rameyjm7/datasets/RFUAV/archives/DAUTEL EVO NANO.rar!DAUTEL EVO NANO/pack1_9-10s.iq
DEVENTION DEVO,00002,Complex Float,15,2440000000.000,100000000,100000000,60,2440000000.0,2440.0,100000000.0,100000000.0,15.0,60.0,/scratch/rameyjm7/datasets/RFUAV/archives/DEVENTION DEVO.rar!DEVENTION DEVO/pack1.xml,/scratch/rameyjm7/datasets/RFUAV/archives/DEVENTION DEVO.rar!DEVENTION DEVO/pack1_0-1s.iq
DEVENTION DEVO,00002,Complex Float,15,2440000000.000,100000000,100000000,60,2440000000.0,2440.0,100000000.0,100000000.0,15.0,60.0,/scratch/rameyjm7/datasets/RFUAV/archives/DEVENTION DEVO.rar!DEVENTION DEVO/pack1.xml,/scratch/rameyjm7/datasets/RFUAV/archives/DEVENTION DEVO.rar!DEVENTION DEVO/pack1_1-2s.iq
DEVENTION DEVO,00002,Complex Float,15,2440000000.000,100000000,100000000,60,2440000000.0,2440.0,100000000.0,100000000.0,15.0,60.0,/scratch/rameyjm7/datasets/RFUAV/archives/DEVENTION DEVO.rar!DEVENTION DEVO/pack1.xml,/scratch/rameyjm7/datasets/RFUAV/archives/DEVENTION DEVO.rar!DEVENTION DEVO/pack1_2-3s.iq
DEVENTION DEVO,00002,Complex Float,15,2440000000.000,100000000,100000000,60,2440000000.0,2440.0,100000000.0,100000000.0,15.0,60.0,/scratch/rameyjm7/datasets/RFUAV/archives/DEVENTION DEVO.rar!DEVENTION DEVO/pack1.xml,/scratch/rameyjm7/datasets/RFUAV/archives/DEVENTION DEVO.rar!DEVENTION DEVO/pack1_3-4s.iq
